字	câu	wskazowka	mot	phrase	indication	word	sentence	słowo	zdanie	palabra	frases
春节	我们二零一五年二月在广东过春节。	中秋节是中国的最重要的传统节日之一。									
完成	要是我不现在开始工作，我就不能按时完成。										
句子	完成句子。										
计算机											
参观											
生产											
主要											
负责	这里谁负责？										
研究	他会研究我的报告。										
搞											
算法											
秃											
沙漠	我爸爸的秃头是一片沙漠！										
排											
这样	对不起，我没讲清楚。										
佛教											
戏	今天演什么戏？										
作者	这本书的作者是谁？										
死	我爱死她了！										
分钟	我已经等了十五分钟！										
桌子											
生活											
睡觉											
习惯	我习惯晚睡。	我不习惯早起。									
东京											
香港											
日本											
辣											
韩国											
一共											
关	这些钱我想怎么花就怎么花，不关你的事。										
关门											
猪肉											
够											
狗	小狗大声的叫。										
特别											
感冒	我有点儿感冒。										
侄子											
外边											
里边											
椅子	这把椅子很舒服。										
需要	我需要你。										
病好											
借	有借有还。	在哪里能借到车？	我能借你的车吗？	他经常跟图书馆借书。							
属	你属什么？										
联合											
代表	UN代表联合国。										
动物											
年岁											
猴子											
鸡	鸡蛋										
蛋											
老虎											
兔子											
龙											
羊											
新加坡	那班飞机几点到新加坡？										
西班牙											
表											
聪明											
恐怕	恐怕不行。										
方便	做火赤方便不方便？										
又											
图书馆											
词典	科技小词典										
科学	科学家										
技术											
方法	这是方法最好！										
从	你们从什么地方来？										
出版	这本书什么时候出版？										
咱们											
马上	你马上去吧！										
面包											
美味											
菜	这菜很美味。										
画家											
礼物											
送	那么我来送你。										
电视	看电视										
看戏	咱们去看戏吧！										
节目											
演员	我从没听说过这个演员。										
感兴趣	我对书感兴趣。	他对艺术一点也不感兴趣。									
更	你漂亮，可是她更漂亮。										
同乡	我听说他们是同乡。										
要是	要是有机会回去，那就好了。										
黄河	黄河多长？										
气候	你最喜欢什么气候？										
专业	我的专业英文。	什么专业									
华沙											
差不多	他差不多有我一样高。										
饺子											
锅贴											
豆腐											
小心	过马路时小心！										
检查	先生，我们可以检查你的行李吗？										
危险	前面有危险！										
皮箱											
邮票											
注意	我注意我的工作。										
皮包	我的护照在皮包里。										
钱包											
记者	我的哥哥想当记者。										
张											
眼镜											
简单	它没有那么简单。										
又	他又高又帅。										
鞋子											
鞋	我穿三十八吗鞋。										
双	我有一双鞋子。										
运气	迟早他的运气用完										
迟早	你迟早会后悔。	我不后悔。									
希望											
和平											
洗	洗手以前在去吃饭。										
希望	我们都希望和平。										
十字路口											
一直											
出租汽车	我看，走出租汽车好。										
找											
玩笑	他们开我的玩笑。										
糖											
放	您想不想放糖？										
一般	墨西哥菜一般都很辣。										
墨西哥											
卫生	我妈妈很讲究卫生。										
葡萄	葡萄酒										
附近											
付	付钱	你想付多少就付多少。									
份	一份儿有几个？										
辣											
电影	电影院很近，可以走路去。										
道理											
小说											
作家											
希腊											
古	古希腊										
天津											
将来											
记得	我记得他说的话。	你记得我吗？									
笔											
节目	这个节目九点开始。										
钟头											
头											
床											
放心	放心，没事的。										
躺	我们舒服地躺在草上。										
风											
游泳											
重要	这是个重要事件。										
事件											
国际											
国家											
长城	不到长城非好汉。										
外国											
所以											
好汉											
或者	我喝咖啡或者茶，都行。										
选择	我选择这家公司的原因之一是我很喜欢这里的工作的环境。	我们没有别的选择。	做出你的选择！	你应该小心选择朋友。							
爷爷	爷爷慢慢地走路。										
普遍											
之间											
夫人											
小姐											
运动											
批评											
开会											
经理											
任命	他们任命他为经理。										
有理											
副经理											
努力											
计划	要努力完成计划。										
讨论	我们经常讨论天气。										
要不然	我希望你能来要不然怎么办呢？										
相信	我没发相信。										
工程师											
师傅											
工人											
理想	他是不是说呢期是老人们的生活的理想场所。										
场所											
悉尼	悉尼是澳大利亚最大的城市。										
澳大利亚											
呢期											
之前											
之间	a和b之间有什么不同。										
相似	你的问题和我的相似。										
意见	你的意见跟我的相似。										
昆虫	这种昆虫在英语中叫什么。										
继续	继续工做。										
认为											
传统											
反正											
发明											
电脑	电脑是最近才发明的。										
楼	六楼	楼房									
办公室	他不在办公室。										
比较	比较重要										
理解	他无法理解这句话。										
电费											
面条											
页											
行											
建议	我同意他的建议。										
领导	我想领导不同意。										
回答	回答我！										
至少	它至少要花五美元。										
流利	她会讲流利的波兰语。										
谦虚	你太谦虚了！										
访问	我想访问秘鲁。										
报告											
离开	请马上离开！										
机会	这样我们可以还有机会见面。										
另外											
奶奶											
必须	每人必须接受12年义务教育。	必须要看的东西									
义务	帮助是我的义务。										
扎针											
针灸											
止疼											
有效											
法官	法官裁定他的证词有效。										
裁定											
合同	有效合同										
律师	我的儿子相当律师。										
大伯	大家都叫她王大伯。										
中医											
度	昨天十五度。										
冬天											
秋天											
秋	马上就要入秋了。										
夏天											
非洲											
春天											
围棋											
耐心	谢谢你们耐心。	我爸爸非常耐心。									
放心											
耐性	学语言需要耐性。										
随便	随便选两辆车。										
毛											
拼音											
邻居	我邻居的狗死了。	我们的邻居昨天吵死了，我一点也没睡。									
整天											
网球											
擅长	我的爷爷擅长书法。										
足球											
便宜											
碗											
鱼											
闷											
踢足球	有时候我整天踢足球。										
河马											
犀牛											
河内											
使用											
放假											
停	我希望需会。										
正好	我用的时间正好不到五个小时。										
算	算我没说吧。										
学院	航空学院										
教员											
航空	航空小姐										
森林											
木材	我们用木材做雕像。										
雕像											
换	换钱										
人民	人民银行										
不过	不过跟中国银行差不多。										
坐	在下一站换火车。										
衣服	我回家换了衣服。										
吻	我可以吻你吗？	吻我！									
夜											
害怕	他害怕蛇。										
脸											
圆											
陌生	我在看一位陌生女人在那儿。										
感到											
思念	我很思念过去的日子。										
日子	明天是个大日子。										
忽然	我忽然发现										
哭泣	我听见有人欢呼有人在哭泣。										
欢呼											
曾	我曾在一家饭馆工作过。										
在意											
惊奇											
充满	日本充满惊奇。										
但却											
无法	我无法忘记你的脸。										
距离	北京和上海距离多远？										
诱惑	大城市有很多诱惑。										
年轻											
尽头	一切有尽头。										
一切	你是我的一切！										
东京											
问好	他向那位女士问好。										
有力											
早就	他早就不去了。										
麻烦	我不想麻烦你。										
一遍	再说一遍。										
大声											
除了...意外	除了他以外每个人都在这里。										
替	今天老师没来，谁替他。										
警察											
原谅											
迟	请原谅，我迟到了。										
孔子	巴塞罗那孔子学院.										
打扰	对不起打扰你了。										
办法	解决失业最好的办法是去工作。										
难道	难道他可以买一把刀，而我就不行了。										
生气	最后她生气。										
最后											
干杯											
健康	祝你身体健康。	运动让我的健康。									
会议	老板在会议室见客户。										
顺利	祝你们工作顺利。										
醉	他非常醉了。										
友谊	为我们的友谊！										
总是	我的学生总是问我很多有意思的问题。										
丰富	内容很丰富。										
故事	故事很有意思。										
起床											
床	我不喜欢起床早。										
发现											
从前	从前中国人都用毛笔写字。										
毛笔											
书法	我必须买一本关于书法的书。										
关于	这本书关于生活在英国。										
书法家	李先生是个书法家，他的字很好看。										
一...就...	一听就听得出来。										
其实	其实他没有去美国。										
到处	到处都是！										
跳	下次我们见面的时候你会跳。	你能跳多高。									
跳舞											
当地	我参加了当地的一个自行车比赛。										
完美	完美还不够好。										
读书											
蠢	我真蠢。										
食堂											
俄国											
准	我的表最准。										
马路											
条											
修理	这条马路在修理呢。										
坏	电脑坏了。										
不了	 										
解释	没时间解释。										
数	这孩子能数到二十。										
数量	数量不如质量。										
质量											
短	我很喜欢穿短裙。										
一束花	我送妈妈一束花										
帮忙	能不能请你帮我的忙？										
婆婆	婆婆常常帮忙带孩子。										
伯伯											
区分	我无法区分青蛙和蟾蜍。										
青蛙											
蟾蜍											
爬	爬山很有趣。										
有趣											
丑	他的妹妹很丑。										
臭											
袜子	臭袜子										
香	这个菜很香。										
香水											
黑暗	我们在黑暗的夜里会干什么？										
无聊											
空调	我的房间没有空天。										
夫妇											
买不起	在中国年轻夫妇买不起房。										
厕所	有厕所吗？										
哪有！											
加油											
干嘛呢？											
发展											
经济	现在是全球经济发展最快的时候。										
交通	交通事故										
我的妈呀。											
火星	地球太危险，我要回火星了。										
罗马											
美丽											
无聊	这太无聊了。										
博物馆											
雕像											
幸运	我觉得幸运。										
无聊	这个丰富的城市让我们不无聊。										
新闻											
通常											
瑞典🇸🇪											
健身	我必须开始健身运动了。										
运动											
酒吧	他们在酒吧喝啤酒。										
地	慢慢地走。										
变得	你怎么变的这么漂亮。										
社会	中国人口这么多，当然会有很多社会问题。	国家要我们努力建设社会主义。									
受欢迎	他的电影从来都最受欢迎的。										
从来											
从来都											
大声	小狗大声地叫。										
年龄	我和我女朋友年龄差很多。										
文化	中国文化和西方文化差很多。										
草莓	请问，草莓多少钱？										
刀叉🍴	中国人用筷子吃饭，不用刀叉。										
出发	火车六点四十分出发。										
准	他的表最准。										
脏	你的房间脏死了。										
蛋糕	生日的时候，我们会吃蛋糕，还要送礼物。										
水平	我们的中文水平差不多。	纽约是世界上最国际化的城市之际。									
纽约	上海和纽约差不多。										
旧	你的新手机跟我的旧手机差不多。										
作业	昨天晚上我一直在做作业。										
宝宝											
出差	爸爸去北京出差已经四天了。										
弟弟	他有一个弟弟，还有一个妹妹。										
汉堡											
网上	我喜欢在网上买书，因为更便宜。										
小心	我的车刚买一个月，开的时候小心点。										
员工	他的公司只有五个员工。										
跑	宝宝只会走，不会跑。										
一边	我常常一边洗澡，一边唱歌。										
老公											
聊天	我们正在聊天。										
胖	我胖起来了。	你胖得很个球一样。									
性格	我的性格和我爸爸一样。										
味道											
听话	我孩子听话。										
老家											
地铁站	我们公司离地铁站进不进？										
吸管											
果汁	他正在用吸管喝果汁。										
新鲜	我喜欢新鲜的果汁。										
客户	客户问的问题										
暗	太暗了我无法读。										
按时	他按时到学校。										
按照											
排队	老师按照身高给孩子们排队。										
保证	我保证这个时钟可用一年。										
时钟											
报道	他觉得必须报道这件事。										
报名	我怎样报名参加呢？										
首											
责怪	请不要责怪你自己。										
明明											
笔记本											
笨	换句话说，你很笨。										
居住	他在纽约居住。										
被	热狗被男孩吃了。										
老公	来中国以后，他认识了她的老公。										
寸											
村子	二十年以前，这里是一个小村子。										
分手	几个月以前，他们分手了。										
头发	当总统以前，Obama没有白头发。										
饼干											
干											
许多	明天有许多要干的事情。										
事情	让我说一件事情。										
填	请填这个表格。										
表格											
博士	我正在上海读博士。										
田	我们在田里发现了一个小猫。										
不管	不管你怎么做， 结果都一样。										
结果											
学识											
不仅	她不仅有学识还有经验。										
不但	她不但喜欢网球，还喜欢足球。										
万											
亿											
到处											
伤心	伤心的哭										
认真	今天的作业你做的不好，因为你没认真地听课。										
刷											
牙	我刷过牙了。										
合同	客户看过合同了吗？										
星巴克	星巴克咖啡比这里咖啡贵。										
马云	马云没有BillGates有钱。										
冰	你要冰可乐吗？										
先	早上我先刷牙洗脸，在吃早饭。										
猜	让我猜一猜。										
尝	他们每周尝一个肉。	我点的菜尝起来不错。									
加班	我明天必须加班。										
经理	他在 Facebook作了二年经理。										
成熟											
变的											
诚实	诚实是一中美德。										
美德											
成为	他希望成为一名歌手。										
但愿	但愿我是一名歌手。										
歌手											
原因	我有三个原因。	迟到的原因									
拜访	每天我拜访我父母。										
压岁钱											
圣诞节											
节日											
点心											
月饼	月饼是中国点心的一种。										
中秋节	明年中秋节是星期一吗？	明年中秋节是几月几日？									
剑	把剑给我。										
太极	练太极扇。										
睡衣服											
练											
动词											
名词											
赢	他赢了。	他有可能赢得比赛。									
平了											
上了年纪的											
京剧	有些上了年纪的人非常喜爱京剧。										
高原											
黄帝											
名胜古迹	自然名胜古迹										
人文	人文名胜古迹										
卷曲	蛇卷曲在草中。										
自然	他的头发自然卷曲。										
遇											
教堂	我们在教堂遇到。										
遇到											
名牌											
特色											
地上	我躺在草地上。										
挂	请把你的外套挂起来。										
外套	这件外套没有口袋。										
口袋											
圣诞树											
星星	你把星星挂圣诞树上。										
版	我听过这首歌的法语版。										
照相机	那是我妹妹的照相机。										
干净	你的手干净吗？										
打开	请你把门打开。										
瓶子	把瓶子打开。										
爱好											
没办法	明天我姐姐太忙了，他没办法出去吃饭。										
吵	这里太吵了，我没办法工作。										
大妈	两个大妈吵起来了。										
想法	请你告诉他你的想法。										
将康	健康比财富重要。										
担心	不要担心我。										
级	第二级										
消息	我想告诉她一个消息。										
寄	妈妈寄给我很多冬天的衣服。										
游戏	我小的时候我很喜欢上了电脑游戏。										
着急	慢慢吃，别着急。										
以为	她以为我是警察。         										
电影院											
杂志	我把杂志放在桌子。										
出事	我开车的时候出了事。										
家庭	我很喜欢你的家庭。										
教育	教育从家庭开始										
农村	我在越南的时候，去过一些很漂亮的农村。										
植物园											
环境											
科学家											
环境	自然环境										
条件	理想叫天										
研究											
空气											
建立	建立医院										
接受	接受教育／在医院可以接受检查。										
木屋											
移植											
夏令营											
压力	我最近压力有点大。										
合适	很难找到合适的翻译。										
要求											
讲条件	如果我找工作，我和老板讲条件。										
少	我想工作更少。										
酸奶											
污染											
清新	空气清新										
艺术家	为艺术而艺术。										
作家											
暑假											
学前											
小学											
中学											
道歉	没有需要道歉。										
主意	你有主意吗？										
法律	他对法律有研究。										
心脏	我爸爸要移植心脏。										
价钱											
打折	价钱可以打折吗？										
网页	Google 是最常访问网页。										
地图											
宿舍	我的妹妹住在学校的宿舍里。										
欣赏	我欣赏总统Obama。										
树	大树旁边										
盒	五盒茶叶										
叶子											
台	七台电脑										
龙	一条龙										
巧克力	一盒巧克力										
部门	我爸爸负责这个部门。										
比赛	这次比赛，我们班第一，他们班第二。										
下雨天											
在街上											
倚赖											
文章											
生词											
平等											
多余	多余两个小时										
吃饱	一天只吃一次饭， 你吃的饱吃不饱？										
即...又	我即喜欢唱歌，又喜欢跳舞。										
首都	北京即是中国首都，又是历史古迹的大城市。										
蓝色	天空是蓝色的。										
迷宫	那个迷宫你怎么走出来了？。										
迷路	他可能迷路了。										
冰箱	我从来没有见过黄色的冰箱。										
口袋											
袜子											
活动											
香气											
烦死											
进行	让我们进行讨论。										
顺利	工作进行得不顺利。										
炒鱿鱼了	全公司知道经理被炒鱿鱼了。										
政府											
责任	保护环境不只是政府的责任，更需要它是全社会的责任。										
果汁											
甜	果汁甜甜的。	我想吃甜的东西。									
辛苦	学习中文很辛苦。										
大方											
评论											
沙发	现在我真想舒舒服服地躺在沙发看电影。										
按摩	我想去做个按摩，放松放松。										
认真	你要认真地学习。										
穿	我穿上我儿子买的衣服。										
表示	我应该给他买点什么表示感谢。										
发生	电视新闻说亚洲那个国家发生了大地震。										
打扰	你什么时候来都不会打扰我。										
兽医	我们家那只猫病了。我应该带她去看兽医。										
独角兽											
胃口											
老师											
脏	他老是喜欢说脏话。										
关心											
尽量	你看书吧，我尽量不打扰你。										
价格	这两家店的东西价格差很多。										
收入	我的收入和我老板的收入差很多。										
傻子	你觉得别人是傻子吗？										
处理	这种情况就你能处理。										
解释											
溜冰											
溜冰鞋	我姐姐船溜冰鞋。										
出卖	她出卖了我。										
台风	台风走了。										
好奇	我很好奇。										
钢琴	我的妹妹是钢琴家。	我以前也学过钢琴，可是现在全忘了。									
祖先											
跪拜											
解决	解决经济困难										
确实	他确实死了。										
加泰罗尼亚											
文章	等文章										
城堡	城堡在河的对面。										
浪漫	我的男朋友很浪漫。										
美化											
简化	那颗建华我的工作。										
简体	简体中文										
白化	白化病										
全球化	全球化是二十一世纪最大特点之一。										
现代化											
马虎爸猫											
个人主义											
所有	我付钱所有的。										
时代	我们生活在一个全球化的时代。										
风俗											
签证	我能不能留在中国要看我能不能拿到签证。										
严重											
堵车	交通堵车。										
笑话	这个笑话一点也不好笑。										
困难	经济困难										
试	你过五分钟再试试。										
考虑	你先找工作在考虑买房子。										
困	你困吗										
骗	你又被骗了。										
恐龙											
钱包	我找了又找，还是没找到我的钱包。										
低											
氧气											
二氧化碳											
照片	这些照片真美！										
比喻											
拍照片											
见不到											
登											
还不到	我的弟弟还不到二十五岁。										
多么好											
屏幕											
看法	我不懂你的看法。										
好奇	我的妹妹很好奇。										
橙色	我喜欢橙子。										
头痛	我头痛。										
晕船											
晕晕乎乎	我还晕晕乎乎的。										
晕机											
舌头											
首先											
着	我站着										
交通工具											
地道											
热闹	巴塞罗那可热闹了。	市场上到处都很热闹。									
血液	我希望你做血液检查。										
蜘蛛🕷️	我怕蜘蛛。										
酸	生活不总是容易。生活酸甜苦辣。										
连	连小孩儿都会做。	出国以后，我在没吃过地道的中国菜。	我连自己的生日都不记得了。								
格子											
条纹											
刮	刮大风										
妻子	丈夫和妻子										
老公											
老婆	老公和老婆	你好像很怕你的老婆。									
口音	听你的口音，我能知道你是香港人。										
抓											
经历	这会是一个不错的经历。										
阿拉伯	她连阿拉伯语也会说。										
词汇	他的词汇很丰富										
广告											
不是											
难过	我不是地觉得难过。										
古怪											
性情	他的性情古怪。										
周末											
未来	没有科学就没有未来。	未来世界									
周	雨下了一周。										
上帝	上帝存在。										
相信	你相信上帝吗？										
打死											
可惜	太可惜了！	可惜不能久待:/。									
数学											
天使	你真是个天使！										
阳光	他是我的阳光。										
公馆											
发疯											
演示	我给你演示一下。										
倍	三倍九是多少？	他现在的工资比两年前多了三倍。									
建	这是谁建的？										
随时	病人随时会死。										
减肥	我姐姐想减肥。										
听说	你可能听说过。										
输入	输入法										
繁体	当你读繁体字的时候，你都明白吗？										
忽视	我可以不可以忽视这个字。										
烧烤											
兄	你有兄弟姐妹吗？										
跑步	我奶奶每天跑步。										
蓝色	我姐姐的眼睛蓝色的。										
松鼠											
深	这个湖有多深？										
浅	我睡觉很浅。										
镜子	你别打碎镜子。										
湖	湖南										
仍	大家都会在家里不想出门，但是多人仍去上班。										
活着	他还活着吗？										
雨伞	打一把雨伞。										
太阳伞											
底部	把这本书放在架子底部。										
海洋	海洋底部有沙子。										
沙子											
港口	港口内有许多船。										
海滩											
私人	他上私人钢琴课。										
尽管	尽管下着雨，她还是拜访她妈妈。										
几乎	我们几乎死了。										
由	由你来决定。										
吻	吻我。										
岳母											
公公											
婆婆											
岳父											
后悔	我不后悔。										
好处	这么做有什么好处吗？										
迟早	他迟早会后悔。										
方向	你的方向面向那个方向？										
烦恼	把烦恼忘掉吧。										
改变	你什么都改变。										
厚	这本书非常厚。	这儿的冬天太冷了，我需要带厚衣服过来。									
护士											
合格	他是个合格护士。										
盒子	盒子里有什么呢？										
交谈											
互相	她们在互相交谈。										
范围	这超出了我的想象范围。										
想象	我无法想象没有他的生活。										
激动	别这么激动！										
设置											
告诫											
大赛	爸爸告诫我在大赛不要太激动。										
集合	老师命令学生集合。										
降低	她可能会把价格降低。										
骄傲	我为我儿子感到骄傲。										
交流	她们需要更多交流。	语言交流									
加油站	这里附近有加油站吗？										
其	他是老师，其父也是老师。										
命令	警察大声发出命令。										
故意	我故意不到会。	他故意踩我的脚。									
标准	标准法语										
否则	快一点，否则你会迟到。										
讨厌	我讨厌化学。										
开心											
不开心											
设法	我设法让我爷爷明白了。										
乱	家这么乱。	你家太乱了，哪儿都是脏衣服。									
怀孕🤰	我怀孕四个月了。										
辆											
租	我想租一辆车。										
确定	我不太确定。	他很确定以前见过他。									
约会	我八点有个约会。	他想和她约会。									
等着											
精彩	我读了一个精彩的故事。										
既然	既然你要去超市，那就买些鸡蛋吧。										
鼓励	我伤心的时候，我们的朋友鼓励我。										
而且	我的而且不但有趣而且有用。										
笨蛋	他竟然叫她笨蛋。										
竟然											
宽	海非常宽。										
考虑	这需要考虑。										
可怜	你应该可怜他。										
草坪											
距离	纽约和伦敦距离多远。										
拒接	我拒绝。										
害羞	不要害羞。	我有点害羞。	跟姐姐比，我的妹妹有点害羞。								
关键	这真是问题的关键。										
家具	房子里家具太多了。										
回忆	谢谢那些回忆。										
基础	许多语言都以拉丁语为基础。										
京剧											
不管	不管你做什么，别笑。										
懒	不要那么懒啊。										
来得及	我们来得及。										
理发	我爸爸去那里理发。										
理解	我无法理解这句话。										
联系											
凉快	我想进村林子去凉快一下。										
网球	网球在学生中非常流行。										
流行	那个流行歌手自杀了。										
厉害	我今早头疼的厉害。										
冷静	请冷静。										
另外	Ola是我的最少的孩子，我另外还有两个孩子。										
毛巾	给我一条干毛巾。										
民族	中国有56个民族。										
满意	我不满意我的英语能力。										
皮肤	你的皮肤真好。										
农村	他毕业后回到了农村。										
准时											
起飞	这班飞机准时起飞。										
骗	不要骗我。										
打扮	他打扮得像女人一样。										
缺少	缺少运动有害健康。										
区别	钢琴和鱼有什么区别？										
缺点	他最大的缺点就是话太多。										
穷	他很穷。										
签证	美国签证多少钱？										
任何	他给了我任何我需要的帮助。										
伤心	这些批评使她伤心。										
任务	我无法完成这个任务。										
扔	你能扔多远？										
仍然	他仍然爱着她。										
日记	妈妈每天写日记。										
稍	请稍等一会儿。										
稍微	稍微冷一点没问题。	稍微慢一点儿。									
是在	这只手机实在是太贵了。										
适合	我不觉得他适合做这份工作。										
食品	这是中国的食品。										
失败	他会失败。										
世纪	一个世纪就是一百年。										
收拾	请把这些瓶子收拾好。										
房间	收拾房间吧。										
输	无不会输。	我每次玩这个游戏都输。									
熟悉	他熟悉日本文化。										
受不了	我受不了这么热。										
售货											
售货员	我以前是售货员。										
态度	我对他的态度变了。										
塑料											
塑料袋	谢谢，不需要塑料袋。										
袋	我爸袋放了在床上。										
速度											
禁止	人们要求禁止抽烟。										
甚至	他们甚至不知道为什么。										
提前	他提前一小时完成了工作。										
填空											
停止	停止大声说话！										
偶尔	我和我妹妹偶尔打网球。										
袜子	外面很冷。你要穿上袜子。										
完全	这完全是他的过错。										
通知	请通知我何时开始。										
同情	我同情他。										
有用											
网站	这个网站很有用。										
提	你可以帮我提我的袋子吗？										
西红柿											
挺	这碗汤挺好吃。										
文章	我昨天完成这篇文章。										
洗衣机	我不能使用这台洗衣机。										
相反	他的看法相反。										
吸	吸我的鸡吧。										
详细	我想要更详细的信息。										
陪	我陪老婆去机场。	你要不回家，要不陪我再玩一会儿。	你为什么不多陪陪家人呢？								
辛苦	学习汉语很辛苦。										
信心	我有你所没有的东西：信心。	他对自己成功有很大信心。									
心情	我心情不好。	去不去要看他的心情。									
信用卡											
兴奋	他越说越兴奋。										
邀请	谢谢你的邀请。										
阳光	她是他的阳光。										
演出	你喜欢今晚演出吗？										
养成	您应养成使用字典的习惯。										
牙膏	在哪儿我能找到牙膏？										
擦	我为下个学生擦黑板。										
膏	老先生喜欢给头发擦上膏使它光亮。										
印象	你对我的印象怎么样？	我不想给你这种印象。									
合理	他的意见很合理。										
意见	他的意见很合理。										
也许											
引起	咖啡不能引起我的兴趣。										
钥匙	不要玩钥匙。	请给我房间钥匙。									
艺术🎨											
硬											
